Date ,Price ,Open ,High ,Low ,Volume ,Chg% 
01-Jan-16,548.29,545.69,550.13,542.31,1.81M,-0.01%
04-Jan-16,535.22,545.66,546.9,533.8,3.98M,-2.38%
05-Jan-16,532.81,538.49,538.49,526.96,4.95M,-0.45%
06-Jan-16,530.48,533.11,533.11,525.3,5.59M,-0.44%
07-Jan-16,521.28,525.87,529.76,519.84,5.29M,-1.73%
08-Jan-16,527.48,526.59,529.51,523.61,3.16M,1.19%
11-Jan-16,523.71,524.01,530.78,521.92,5.36M,-0.71%
12-Jan-16,520.86,526.83,527.31,511.38,6.57M,-0.54%
13-Jan-16,537.45,524.35,541.22,519.94,8.75M,3.19%
14-Jan-16,562.06,528.82,572.97,523.04,30.23M,4.58%
15-Jan-16,565.48,569.5,577.43,564.31,13.04M,0.61%
18-Jan-16,561.51,565.48,576.49,559.75,10.07M,-0.70%
19-Jan-16,565.36,563.05,574.93,559.85,7.50M,0.69%
20-Jan-16,556.23,562.55,575.45,554.12,7.51M,-1.61%
21-Jan-16,564.07,563.05,566.77,556.6,6.74M,1.41%
22-Jan-16,563.67,569.55,571.73,561.06,6.44M,-0.07%
25-Jan-16,564.36,565.65,568.93,557.86,4.58M,0.12%
27-Jan-16,564.78,568.73,570.29,563.05,6.97M,0.07%
28-Jan-16,560.37,563.54,566.82,558.68,7.79M,-0.78%
29-Jan-16,577.88,564.54,580.41,561.36,10.23M,3.12%
01-Feb-16,582.07,580.41,585.32,576.24,4.25M,0.73%
02-Feb-16,583.16,583.81,590.33,577.43,7.63M,0.19%
03-Feb-16,574.31,579.32,583.34,571.85,5.25M,-1.52%
04-Feb-16,585.25,575.48,592.79,575.48,5.55M,1.90%
05-Feb-16,582.74,583.14,588.67,581.33,3.98M,-0.43%
08-Feb-16,570.89,577.31,581.5,567.41,4.22M,-2.03%
09-Feb-16,549.48,559.72,559.72,542.46,7.58M,-3.75%
10-Feb-16,549.93,549.65,559.33,548.17,5.87M,0.08%
11-Feb-16,535.09,551.14,552.13,531.37,5.21M,-2.70%
12-Feb-16,538.07,543.06,547.87,529.32,7.41M,0.56%
15-Feb-16,541.59,543.83,545.79,539.04,5.09M,0.65%
16-Feb-16,535.34,539.24,542.09,532.64,5.13M,-1.15%
17-Feb-16,544.62,536.63,547.17,534.28,4.16M,1.73%
18-Feb-16,557.29,545.69,559.08,545.69,4.19M,2.33%
19-Feb-16,559.2,555.21,562.65,552.56,3.97M,0.34%
22-Feb-16,558.91,561.06,562.53,552.66,3.86M,-0.05%
23-Feb-16,557.54,560.69,561.81,553.65,2.50M,-0.25%
24-Feb-16,558.26,555.36,567.39,554.79,4.95M,0.13%
25-Feb-16,550.8,558.29,560.87,546.23,4.48M,-1.34%
26-Feb-16,556.18,555.68,561.56,553.62,4.24M,0.98%
29-Feb-16,537.77,560.32,560.77,529.96,8.17M,-3.31%
01-Mar-16,558.31,543.11,560.72,543.11,6.39M,3.82%
02-Mar-16,573.47,564.07,577.19,558.09,7.21M,2.72%
03-Mar-16,580.06,579.42,591.75,572.47,5.81M,1.15%
04-Mar-16,580.73,583.19,587.85,575,4.28M,0.12%
08-Mar-16,577.16,576.94,590.58,569.2,7.62M,-0.61%
09-Mar-16,584.63,568.01,587.23,566.99,6.31M,1.29%
10-Mar-16,566.77,576.89,576.89,565.21,24.38M,-3.05%
11-Mar-16,567.02,568.6,573.44,564.64,4.06M,0.04%
14-Mar-16,566.12,568.51,572.6,564.78,4.17M,-0.16%
15-Mar-16,562.75,567.51,572.72,560.05,6.72M,-0.60%
16-Mar-16,571.71,566.47,572.97,561.34,5.59M,1.59%
17-Mar-16,576.32,573.91,580.29,572.5,6.47M,0.81%
18-Mar-16,592.02,576.84,594.8,576.44,8.48M,2.72%
21-Mar-16,592.76,589.34,594.8,585.4,5.14M,0.12%
22-Mar-16,590.31,590.95,592.32,581.4,7.10M,-0.41%
23-Mar-16,599.16,590.33,600.6,586.41,6.33M,1.50%
28-Mar-16,597.72,611.37,613.65,593.19,10.79M,-0.24%
29-Mar-16,593.93,594.8,604.67,591.1,7.00M,-0.63%
30-Mar-16,598.25,594.1,600.25,593.09,5.76M,0.73%
31-Mar-16,604.37,600.38,610.13,595.44,18.00M,1.02%
01-Apr-16,598,603.23,606.31,592.86,5.51M,-1.05%
04-Apr-16,616.97,602.02,619.11,602.02,4.58M,3.17%
05-Apr-16,605.12,616.13,616.28,602.24,4.79M,-1.92%
06-Apr-16,595.64,609.18,609.18,593.31,4.93M,-1.57%
07-Apr-16,586.12,599.46,599.46,582.89,5.66M,-1.60%
08-Apr-16,578.3,583.31,584.13,576.47,4.20M,-1.33%
11-Apr-16,587.31,578.33,588.72,571.04,5.77M,1.56%
12-Apr-16,586.46,585.62,592.76,584.68,5.84M,-0.14%
13-Apr-16,581.75,592.79,592.79,578.6,12.51M,-0.80%
18-Apr-16,614.49,620.1,628.98,611.91,25.02M,5.63%
20-Apr-16,616.92,617.12,618.34,608.09,8.07M,0.40%
21-Apr-16,608.34,620.59,620.59,604.27,5.44M,-1.39%
22-Apr-16,600.87,608.34,609.43,598.77,5.14M,-1.23%
25-Apr-16,603.16,601.27,607.6,595.84,5.36M,0.38%
26-Apr-16,611.24,602.96,614.91,599.56,5.85M,1.34%
27-Apr-16,615.21,609.78,616.3,609.46,4.49M,0.65%
28-Apr-16,599.83,610.67,614.94,598.77,12.17M,-2.50%
29-Apr-16,599.31,600.97,606.98,597.77,5.04M,-0.09%
02-May-16,595.81,600.25,600.82,593.38,3.62M,-0.58%
03-May-16,584.28,596.66,601.35,581.3,6.82M,-1.94%
04-May-16,589.76,585.87,591.82,580.73,5.81M,0.94%
05-May-16,591.55,592.89,594.8,585.92,6.30M,0.30%
06-May-16,586.12,590.23,590.23,583.91,2.60M,-0.92%
09-May-16,594.82,586.36,596.06,585.67,5.12M,1.48%
10-May-16,601.64,596.53,603.55,593.61,3.40M,1.15%
11-May-16,596.21,594.55,602.59,591.57,3.71M,-0.90%
12-May-16,600.25,597.23,601.74,593.71,3.41M,0.68%
13-May-16,598.89,598.27,600.25,591.4,5.65M,-0.23%
16-May-16,602.73,600.35,607.03,597.77,4.53M,0.64%
17-May-16,602.36,605.22,608.07,599.34,3.80M,-0.06%
18-May-16,600.18,594.8,602.24,594.25,4.26M,-0.36%
19-May-16,598.15,600.73,603.31,595.79,3.95M,-0.34%
20-May-16,596.09,597.77,604.97,595.29,3.99M,-0.34%
23-May-16,589.34,596.98,597.85,587.85,4.59M,-1.13%
24-May-16,589.22,590.85,591.2,584.18,3.49M,-0.02%
25-May-16,599.58,592.37,601.79,592.37,3.86M,1.76%
26-May-16,612.23,600.3,615.04,600.3,6.14M,2.11%
27-May-16,618.86,610.97,624.81,610.97,6.18M,1.08%
30-May-16,628.83,615.88,631.01,615.88,5.29M,1.61%
31-May-16,619.43,627.54,628.41,614.64,13.78M,-1.49%
01-Jun-16,624.17,618.14,629.27,618.11,4.84M,0.77%
02-Jun-16,625.83,622.58,632.45,622.08,5.05M,0.27%
03-Jun-16,628.48,625.08,634.63,625.08,4.00M,0.42%
06-Jun-16,628.41,627.49,633.49,625.6,4.23M,-0.01%
07-Jun-16,623.77,628.53,631.26,622.63,5.69M,-0.74%
08-Jun-16,614.19,627.02,627.02,612.83,8.74M,-1.54%
09-Jun-16,588.1,608.32,608.32,585.4,12.74M,-4.25%
10-Jun-16,585.67,583.09,590.33,580.46,6.38M,-0.41%
13-Jun-16,585.82,583.78,587.8,578.43,5.29M,0.03%
14-Jun-16,582.89,586.56,586.56,579.05,2.94M,-0.50%
15-Jun-16,590.31,587.21,591.65,584.9,6.71M,1.27%
16-Jun-16,588.35,590.08,590.08,580.46,5.30M,-0.33%
17-Jun-16,585.12,589.84,591.7,582.94,8.52M,-0.55%
20-Jun-16,599.63,585.87,601.15,585.22,6.23M,2.48%
21-Jun-16,598.32,600.85,602.64,593.14,4.76M,-0.22%
22-Jun-16,595.05,597.28,601.22,589.42,3.03M,-0.55%
23-Jun-16,601.05,593.95,602.66,591.99,3.83M,1.01%
24-Jun-16,592.59,589.34,594.8,575.45,7.81M,-1.41%
27-Jun-16,578.53,581.43,586.96,575.45,5.58M,-2.37%
28-Jun-16,575.03,576.84,581.65,573.02,7.66M,-0.60%
29-Jun-16,583.81,579.92,585.32,575.55,5.46M,1.53%
30-Jun-16,580.81,585.62,587.6,579.39,9.35M,-0.51%
01-Jul-16,581.6,585.37,585.37,580.46,3.99M,0.14%
04-Jul-16,587.33,583.49,592.61,583.49,5.38M,0.99%
05-Jul-16,583.11,587.85,589.09,580.93,3.60M,-0.72%
07-Jul-16,574.09,579.77,580.91,572.97,5.95M,-1.55%
08-Jul-16,574.56,576.94,578.92,572.23,5.55M,0.08%
11-Jul-16,582.92,579.12,584.73,575.45,6.67M,1.46%
12-Jul-16,583.66,585.37,585.55,579.42,6.20M,0.13%
13-Jul-16,592.22,585.37,593.21,582.99,5.28M,1.47%
14-Jul-16,583.51,592.81,593.33,577.43,7.41M,-1.47%
15-Jul-16,532.07,590.08,590.28,521.87,61.48M,-8.82%
18-Jul-16,536.73,534.4,538.2,523.44,14.33M,0.88%
19-Jul-16,539.21,540.03,540.73,532.84,10.40M,0.46%
20-Jul-16,537.3,530.8,540.68,530.8,9.82M,-0.35%
21-Jul-16,535.71,535.27,539.34,533.58,8.67M,-0.30%
22-Jul-16,532.02,530.8,535.71,529.17,9.39M,-0.69%
25-Jul-16,536.19,527.33,537.38,527.33,8.47M,0.78%
26-Jul-16,540.08,530.98,540.68,530.98,7.19M,0.73%
27-Jul-16,538.42,538.1,543.95,535.04,7.43M,-0.31%
28-Jul-16,534.52,538.44,539.21,532.81,11.26M,-0.72%
29-Jul-16,532.71,532.09,534.15,529.07,8.16M,-0.34%
01-Aug-16,538.37,531.55,539.66,529.98,9.10M,1.06%
02-Aug-16,537.65,535.71,538.24,533.28,6.82M,-0.13%
03-Aug-16,538.2,538.57,538.99,530.95,7.21M,0.10%
04-Aug-16,531.7,538.94,539.19,530.83,4.24M,-1.21%
05-Aug-16,529.81,531.8,532.51,525.84,5.61M,-0.36%
08-Aug-16,535.12,530.31,536.26,527.11,4.64M,1.00%
09-Aug-16,537.45,534.28,538,531.55,7.19M,0.44%
10-Aug-16,536.93,533.78,539.68,533.38,5.58M,-0.10%
11-Aug-16,534.45,536.61,543.21,533.41,5.04M,-0.46%
12-Aug-16,527.11,533.31,535.17,525.84,7.45M,-1.37%
16-Aug-16,521.77,516.91,524.88,509.97,16.43M,-1.01%
17-Aug-16,512.6,520.86,522.2,511.21,6.60M,-1.76%
18-Aug-16,507.69,514.18,515.47,506.74,8.43M,-0.96%
19-Aug-16,506.64,510.96,515.43,505.23,5.69M,-0.21%
22-Aug-16,503.74,505.01,510.96,500.59,10.25M,-0.57%
23-Aug-16,515.75,506.05,516.91,506.05,7.41M,2.38%
24-Aug-16,524.55,519.39,526.86,519.39,6.13M,1.71%
25-Aug-16,514.01,523.36,524.65,512,4.80M,-2.01%
26-Aug-16,506.12,513.94,518.9,504.54,6.88M,-1.53%
29-Aug-16,507.39,504.81,510.96,501.53,5.22M,0.25%
30-Aug-16,516.12,512.18,518.4,508.48,4.38M,1.72%
31-Aug-16,513.86,514.48,518.77,509.87,11.14M,-0.44%
01-Sep-16,514.71,514.93,516.14,511.95,2.88M,0.17%
02-Sep-16,511.88,515.45,515.92,509.08,3.33M,-0.55%
06-Sep-16,518.4,515.05,520.34,513.74,8.22M,1.27%
07-Sep-16,523.04,519.89,525.35,517.91,7.43M,0.90%
08-Sep-16,514.76,518.4,518.4,507.98,9.09M,-1.58%
09-Sep-16,513.69,514.43,516.42,509.25,5.05M,-0.21%
12-Sep-16,522.87,508.6,524.85,508.6,6.20M,1.79%
14-Sep-16,518.7,522.84,524.75,516.24,5.15M,-0.80%
15-Sep-16,517.01,518.7,519.29,513.61,4.70M,-0.33%
16-Sep-16,525.92,520.39,528.08,514.98,9.95M,1.72%
19-Sep-16,526.44,518.9,530.26,516.59,5.81M,0.10%
20-Sep-16,520.96,522.52,524.43,518.77,4.21M,-1.04%
21-Sep-16,523.73,522.87,526.46,521.4,4.23M,0.53%
22-Sep-16,525.25,525.35,526.34,521.87,3.63M,0.29%
23-Sep-16,517.19,524.35,525.25,515.92,5.21M,-1.53%
26-Sep-16,513.89,517.29,517.91,511.46,6.37M,-0.64%
27-Sep-16,515.8,513.47,520.83,512.62,6.53M,0.37%
28-Sep-16,515.4,515.92,517.06,512.57,5.43M,-0.08%
29-Sep-16,510.56,518.38,518.38,507.98,8.90M,-0.94%
30-Sep-16,513.96,511.51,517.86,511.51,6.50M,0.67%
03-Oct-16,514.98,513.69,515.92,509.03,3.66M,0.20%
04-Oct-16,520.49,515.92,521.58,515.08,5.07M,1.07%
05-Oct-16,516.67,520.49,520.81,514.43,2.31M,-0.73%
06-Oct-16,509.67,518.4,518.4,508.95,3.72M,-1.35%
07-Oct-16,502.3,510.94,512.85,501.09,6.29M,-1.45%
10-Oct-16,510.94,504.51,511.83,501.04,5.41M,1.72%
13-Oct-16,522.05,506.69,524.85,506.69,9.78M,2.17%
14-Oct-16,509.55,522.32,537.1,494.22,33.46M,-2.39%
17-Oct-16,507.19,513.42,516.81,504.68,8.01M,-0.46%
18-Oct-16,515.45,510.96,516.17,509.62,6.39M,1.63%
19-Oct-16,516.81,516.91,518.75,513.94,3.51M,0.26%
20-Oct-16,514.26,518.28,521.23,512.85,3.54M,-0.49%
21-Oct-16,515.08,513.44,516.42,507.24,3.86M,0.16%
24-Oct-16,509.52,514.68,517.26,508.73,2.90M,-1.08%
25-Oct-16,504.61,514.18,515.38,503.62,5.64M,-0.96%
26-Oct-16,503.12,504.51,505.93,500.69,2.78M,-0.30%
27-Oct-16,497.81,504.96,504.98,496.62,7.23M,-1.06%
28-Oct-16,494.84,498.66,501.04,492.68,5.84M,-0.60%
30-Oct-16,497.12,496.57,499.03,495.98,638.07K,0.46%
01-Nov-16,490.84,499.45,499.45,489.33,6.33M,-1.26%
02-Nov-16,486.68,488.54,489.88,486.16,5.38M,-0.85%
03-Nov-16,479.63,486.68,487.15,478.76,5.23M,-1.45%
04-Nov-16,481.69,479.71,485.76,476.73,6.01M,0.43%
07-Nov-16,485.14,488.64,489.13,483.68,4.54M,0.72%
08-Nov-16,487.45,489.58,490,481.49,5.26M,0.48%
09-Nov-16,475.39,461.35,483.48,446.97,12.76M,-2.47%
10-Nov-16,466.02,477.48,477.48,463.83,7.29M,-1.97%
11-Nov-16,457.16,466.31,468.79,455.75,7.10M,-1.90%
15-Nov-16,458.15,458.38,466.29,450.71,9.24M,0.22%
16-Nov-16,466.76,461.35,474.67,460.63,12.22M,1.88%
17-Nov-16,461.25,463.46,470.78,459.57,5.71M,-1.18%
18-Nov-16,456.39,461.35,462.96,455.15,6.04M,-1.05%
21-Nov-16,451.98,459.81,459.81,449.92,7.94M,-0.97%
22-Nov-16,453.51,454.85,460.68,452.25,5.48M,0.34%
23-Nov-16,456.52,457.43,457.83,452.65,8.25M,0.66%
24-Nov-16,461.5,460.46,466.26,458.03,16.78M,1.09%
25-Nov-16,484.92,461.58,488.64,461.58,12.63M,5.07%
28-Nov-16,486.03,485.81,487.87,481.49,7.37M,0.23%
29-Nov-16,482.49,485.56,488.49,479.76,6.13M,-0.73%
30-Nov-16,483.95,482.68,484.67,476.76,8.50M,0.30%
01-Dec-16,483.97,484.17,487.92,479.71,4.61M,0.00%
02-Dec-16,478.47,478.62,481,476.78,4.45M,-1.14%
05-Dec-16,477.05,479.16,480.5,475.24,3.66M,-0.30%
06-Dec-16,479.46,477.13,485.91,477.05,3.56M,0.51%
07-Dec-16,479.41,480.2,482.68,476.33,3.39M,-0.01%
08-Dec-16,488.46,481.22,489.18,481.22,5.94M,1.89%
09-Dec-16,490.79,488.64,500.12,486.9,8.65M,0.48%
12-Dec-16,484.84,487.55,487.55,478.81,5.35M,-1.21%
13-Dec-16,491.22,486.4,492.53,481.74,4.85M,1.32%
14-Dec-16,495.95,491.61,498.53,488.19,5.38M,0.96%
15-Dec-16,492.28,494.79,505.48,490.62,7.97M,-0.74%
16-Dec-16,498.63,497.96,500.89,494.96,6.44M,1.29%
19-Dec-16,498.38,499.1,500.17,493.15,4.12M,-0.05%
20-Dec-16,502.11,497.07,505.5,496.72,7.64M,0.75%
21-Dec-16,496.85,504.02,506.99,495.21,7.34M,-1.05%
22-Dec-16,488.49,497.32,499.55,480.95,7.06M,-1.68%
23-Dec-16,490.35,488.59,499.35,482.98,7.31M,0.38%
26-Dec-16,487.52,490.13,493.1,483.73,3.21M,-0.58%
27-Dec-16,495.56,487.52,497.02,486.16,4.91M,1.65%
28-Dec-16,495.33,497.54,500.94,493.6,5.48M,-0.05%
29-Dec-16,492.28,497.94,500.05,490.2,6.24M,-0.62%
30-Dec-16,501.34,495.09,502.03,492.48,7.27M,1.84%
02-Jan-17,496.62,501.58,502.5,495.76,2.34M,-0.94%
03-Jan-17,493.03,498.11,498.51,487.15,6.78M,-0.72%
04-Jan-17,494.96,493.62,498.16,492.23,7.07M,0.39%
05-Jan-17,494.17,496.87,500.79,490.5,8.21M,-0.16%
06-Jan-17,482.31,493.55,495.51,480.23,14.39M,-2.40%
09-Jan-17,481.37,482.31,484.64,478.72,10.55M,-0.19%
10-Jan-17,481.47,484.67,486.65,480.18,11.94M,0.02%
11-Jan-17,480.75,483.28,485.39,478.19,12.24M,-0.15%
12-Jan-17,496.1,484.94,498.26,484.94,11.86M,3.19%
13-Jan-17,484.07,510.96,515.92,477.57,31.28M,-2.42%
16-Jan-17,474.08,478.72,478.94,472.49,12.35M,-2.06%
17-Jan-17,473.95,474.37,478.22,472.46,5.56M,-0.03%
18-Jan-17,471.67,475.29,476.73,471.17,5.95M,-0.48%
19-Jan-17,475.29,471.77,476.04,470.33,8.88M,0.77%
20-Jan-17,470.63,471.27,472.84,469.29,9.12M,-0.98%
23-Jan-17,472.61,468.79,475.24,466.31,7.95M,0.42%
24-Jan-17,469.07,471.27,471.27,466.36,6.83M,-0.75%
25-Jan-17,464.63,469.34,469.69,463.73,9.98M,-0.95%
27-Jan-17,467.38,463.26,470.06,447.04,10.64M,0.59%
30-Jan-17,470.95,465.07,472.02,460.78,11.37M,0.76%
31-Jan-17,460.66,467.06,467.06,448.63,24.07M,-2.18%
01-Feb-17,454.78,456.94,457.98,449.03,11.53M,-1.28%
02-Feb-17,464.28,454.9,468.79,451.48,11.83M,2.09%
03-Feb-17,464.38,463.24,466.76,456.91,8.42M,0.02%
06-Feb-17,463.96,464.95,468.17,461.63,6.73M,-0.09%
07-Feb-17,467.43,462.84,471.17,460.63,9.27M,0.75%
08-Feb-17,464.58,464.33,468.35,462.57,6.32M,-0.61%
09-Feb-17,469.29,464.83,471.27,464.6,11.91M,1.01%
10-Feb-17,480.35,469.41,482.19,467.95,12.25M,2.36%
13-Feb-17,488.31,482.61,489.18,477.65,13.72M,1.66%
14-Feb-17,489.98,486.16,490.62,482.36,9.34M,0.34%
15-Feb-17,487.05,490.72,495.48,480.6,7.26M,-0.60%
16-Feb-17,502.08,491.61,502.97,491.14,12.82M,3.09%
17-Feb-17,496.13,502.9,502.9,492.46,4.85M,-1.19%
20-Feb-17,501.16,494.34,511.46,492.85,4.65M,1.01%
21-Feb-17,502.82,507.04,508.23,496.1,7.61M,0.33%
22-Feb-17,491.19,503.52,503.52,489.33,6.61M,-2.31%
23-Feb-17,500.47,495.53,506,492.78,9.54M,1.89%
27-Feb-17,502.23,499.7,507.49,499.53,5.33M,0.35%
28-Feb-17,502.23,501.96,507.34,500.67,5.94M,0.00%
01-Mar-17,508.55,502.03,509.47,501.09,4.28M,1.26%
02-Mar-17,507.64,508.18,509.97,504.26,2.95M,-0.18%
03-Mar-17,511.56,501.16,513.09,496.28,5.40M,0.77%
06-Mar-17,512.9,506.02,513.91,505.85,5.29M,0.26%
07-Mar-17,505.9,506.99,508.88,503.37,4.64M,-1.36%
08-Mar-17,499.95,504.46,504.46,498.29,6.18M,-1.18%
09-Mar-17,501.81,499.95,502.53,495.58,3.48M,0.37%
10-Mar-17,506.92,503.52,509.79,502.73,4.55M,1.02%
14-Mar-17,513.34,507.39,516.86,507.39,7.88M,1.27%
15-Mar-17,502.01,513.39,513.39,499.8,6.37M,-2.21%
16-Mar-17,510.39,502.68,511.8,502.68,6.70M,1.67%
17-Mar-17,516.07,513.64,517.36,505.63,9.51M,1.11%
20-Mar-17,506.74,509.25,509.25,503.57,4.43M,-1.81%
21-Mar-17,512.37,506.45,513.42,505.4,4.87M,1.11%
22-Mar-17,509.82,507.21,515.9,506.2,3.99M,-0.50%
23-Mar-17,516.14,510.09,517.41,509.27,4.50M,1.24%
24-Mar-17,511.65,514.93,517.91,509.82,4.88M,-0.87%
